"ID","INCI","CAS","WE","ANNEX","COSING REF. NO."
"15579","LYCIUM CHINENSE LEAF EXTRACT","-","-",,"88198"
"15580","LYCIUM CHINENSE LEAF POWDER","-","-",,"88688"
"15581","LYCIUM CHINENSE ROOT EXTRACT","-","-",,"57465"
"15582","LYCIUM CHINENSE STEM EXTRACT","-","-",,"88935"
"15583","LYCOPENE","502-65-8","207-949-1","IV/110","57466"
"15584","LYCOPODIUM CLAVATUM EXINE","84082-56-4","282-002-3",,"89127"
"15585","LYCOPODIUM CLAVATUM EXTRACT","84082-56-4","282-002-3",,"57467"
"15586","LYCOPSIS ARVENSIS FRUIT/LEAF/ROOT/STEM EXTRACT","90320-53-9","291-080-8",,"84248"
"15587","LYCOPUS COREANUS CALLUS CULTURE EXTRACT","-","-",,"86759"
"15588","LYCOPUS COREANUS LEAF EXTRACT","-","-",,"94915"
"15589","LYCOPUS MAACKIANUS CALLUS CULTURE EXTRACT","-","-",,"86833"
"15590","LYCORIS AUREA EXTRACT","-","-",,"82991"
"15591","LYCORIS CHEJUENSIS EXTRACT","-","-",,"93890"
"15592","LYCORIS UYDOENSIS EXTRACT","-","-",,"96861"
"15593","LYGODIUM JAPONICUM SPORE","-","-",,"57468"
"15594","LYSIMACHIA ARVENSIS EXTRACT","-","-",,
"15595","LYSIMACHIA CLETHROIDES EXTRACT","-","-",,"57469"
"15596","LYSIMACHIA FOENUM-GRAECUM EXTRACT","-","-",,"57470"
"15597","LYSIMACHIA MAURITIANA EXTRACT","-","-",,"83739"
"15598","LYSIMACHIA VULGARIS EXTRACT","-","-",,"93110"
"15599","LYSINAMIDO ORNITHINE","-","-",,"88839"
"15600","LYSINE","56-87-1","200-294-2",,"35064"
"15601","LYSINE ARGANATE","-","-",,"94230"
"15602","LYSINE ASPARTATE","27348-32-9","248-423-1",,"35065"
"15603","LYSINE AZELATE","-","-",,"57471"
"15604","LYSINE BABASSUATE","-","-",,"90060"
"15605","LYSINE CARBOXYMETHYL CYSTEINATE","79458-68-7 / 49673-81-6","279-164-2 / 256-425-9",,"35066"
"15606","LYSINE COCOATE","223707-91-3","-",,"35067"
"15607","LYSINE DNA","-","-",,"57472"
"15608","LYSINE GLUTAMATE","120199-58-8","-",,"35068"
"15609","LYSINE HCL","657-27-2 / 10098-89-2 / 22834-80-6","211-519-9 / 233-234-9 (L) / 245-258-7 (DL)",,"84654"
"15610","LYSINE HYALURONATE",",95678-42-5","-",,"83932"
"15611","LYSINE LAUROYL GLUTAMATE","-","-",,"94106"
"15612","LYSINE LAUROYL METHIONATE","-","-",,"35070"
"15613","LYSINE OCTATRIENOATE","1226758-30-0","-",,"88908"
"15614","LYSINE PCA","97635-57-9 / 97635-56-8","307-419-0 / 307-418-5",,"77509"
"15615","LYSINE THIAZOLIDINE CARBOXYLATE","57762-37-5","-",,"35072"
"15616","LYSOLECITHIN","85711-58-6","288-318-8",,"35073"
"15617","LYSOPHOSPHATIDIC ACID","-","-",,"57473"
"15618","LYSOPHOSPHATIDYLCHOLINYLCHLORIN E6","-","-",,"93978"
"15619","LYSOPHOSPHATIDYLETHANOLAMINE","-","-",,"57474"
"15620","LYSOPHOSPHATIDYLGLYCEROL","-","-",,"86927"
"15621","LYSOZYME","9001-63-2","232-620-4",,"57475"
"15622","LYSOZYME BETA-GLUCAN","-","-",,"57476"
"15623","LYSYL ORNITHINE","-","-",,"88553"
"15624","LYTHRUM SALICARIA EXTRACT","84603-74-7","283-273-0",,"35074"
"15625","LYTHRUM SALICARIA FLOWER/LEAF/STEM EXTRACT","-","-",,"95375"
"15626","MAACKIA AMURENSIS BRANCH EXTRACT","-","-",,"91983"
"15627","MAACKIA AMURENSIS STEM EXTRACT","-","-",,"92087"
"15628","MAACKIA FAURIEI BRANCH EXTRACT","-","-",,"82925"
"15629","MAACKIA FAURIEI LEAF OIL","-","-",,"89643"
"15630","MAACKIA FAURIEI STEM EXTRACT","-","-",,"82924"
"15631","MAACKIASIN","103147-87-1","-",,"92240"
"15632","MACADAMIA ACID","-","-",,"97218"
"15633","MACADAMIA INTEGRIFOLIA SEED OIL","438545-25-6 / 159518-86-2","-",,"57478"
"15634","MACADAMIA INTEGRIFOLIA SHELL POWDER","129811-19-4","-",,"57477"
"15635","MACADAMIA INTEGRIFOLIA/TETRAPHYLLA SEED OIL","438545-25-6","-",,"93941"
"15636","MACADAMIA SEED OIL GLYCERETH-8 ESTERS","-","-",,"57479"
"15637","MACADAMIA SEED OIL POLYGLYCERYL-4 ESTERS","-","-",,
"15638","MACADAMIA SEED OIL POLYGLYCERYL-6 ESTERS","-","-",,"91172"
"15639","MACADAMIA SEED OIL POLYGLYCERYL-6 ESTERS BEHENATE","-","-",,"83269"
"15640","MACADAMIA TERNIFOLIA SEED EXTRACT","129811-19-4 / 128497-20-1","- / -",,"57480"
"15641","MACADAMIA TERNIFOLIA SEED OIL","128497-20-1 / 129811-19-4","- / -",,"77513"
"15642","MACADAMIA TERNIFOLIA SEED OIL PEG-8 ESTERS","-","-",,"57481"
"15643","MACADAMIA TERNIFOLIA SEED OIL PHYTOSTEROL ESTERS","-","-",,"89480"
"15644","MACADAMIA TERNIFOLIA SEEDCAKE","-","-",,
"15645","MACADAMIA TERNIFOLIA SHELL POWDER","129811-19-4 / 128497-20-1","- / -",,"82735"
"15646","MACADAMIAMIDOPROPYL BETAINE","-","-",,"90565"
"15647","MACARANGA TANARIUS LEAF EXTRACT","-","-",,"84705"
"15648","MACELIGNAN","107534-93-0","-",,"86571"
"15649","MACHILUS JAPONICA BRANCH/LEAF EXTRACT","-","-",,"91387"
"15650","MACHILUS JAPONICA EXTRACT","-","-",,"86211"
"15651","MACHILUS ODORATISSIMA BARK EXTRACT","-","-",,"57482"
"15652","MACHILUS THUNBERGII BARK EXTRACT","-","-",,"86616"
"15653","MACHILUS THUNBERGII BRANCH EXTRACT","-","-",,"83688"
"15654","MACHILUS THUNBERGII SEED OIL","-","-",,"86617"
"15655","MACLURA AURANTIACA WOOD EXTRACT","-","-",,"82689"
"15656","MACLURA COCHINCHINENSIS LEAF EXTRACT","-","-",,"95532"
"15657","MACLURA COCHINCHINENSIS LEAF PRENYLFLAVONOIDS","-","-",,"96880"
"15658","MACLURA POMIFERA FRUIT EXTRACT","-","-",,"87100"
"15659","MACLURA POMIFERA SEED OIL","-","-",,"96161"
"15660","MACROCYSTIS PYRIFERA","-","-",,"57483"
"15661","MACROCYSTIS PYRIFERA BLADE/PNEUMATOCYST/STIPE JUICE EXTRACT","-","-",,"89129"
"15662","MACROCYSTIS PYRIFERA EXTRACT","347174-92-9","-",,"35077"
"15663","MACROCYSTIS PYRIFERA JUICE","-","-",,"89655"
"15664","MACROCYSTIS PYRIFERA PROTEIN","-","-",,"57484"
"15665","MACROPIPER EXCELSUM LEAF EXTRACT","-","-",,"83366"
"15666","MACROPIPER EXCELSUM LEAF POWDER","-","-",,"83365"
"15667","MACROPTILIUM ATROPURPUREUM FLOWER/LEAF/STEM EXTRACT","-","-",,"84055"
"15668","MACROTOMIA EUCHROMA ROOT EXTRACT","-","-",,"57485"
"15669","MADECASSIC ACID","18449-41-7","-",,"57486"
"15670","MADECASSOSIDE","34540-22-2","252-076-1",,"57487"
"15671","MADHUCA LONGIFOLIA SEED OIL","-","-",,"97377"
"15672","MADHUCA LONGIFOLIA SOPHOROLIPIDS","-","-",,"95223"
"15673","MADROX","37514-30-0","253-534-3",,"40044"
"15674","MAESA JAPONICA EXTRACT","-","-",,"90823"
"15675","MAFENIDE HCL","138-37-4","205-325-3",,"86446"
"15676","MAGNESIUM ACETATE","142-72-3","205-554-9",,"35078"
"15677","MAGNESIUM ACETYLMETHIONATE","71463-44-0 / 105883-49-6","275-482-0 / -",,"35079"
"15678","MAGNESIUM ALGINATE","37251-44-8","-",,"57541"
"15679","MAGNESIUM ALUMINOMETASILICATE","-","-",,"91191"
"15680","MAGNESIUM ALUMINUM SILICATE","1327-43-1","215-478-8",,"35080"
"15681","MAGNESIUM ASCORBATE","15431-40-0","239-442-6",,"35081"
"15682","MAGNESIUM ASCORBATE/PCA","-","-",,"57542"
"15683","MAGNESIUM ASCORBYL PHOSPHATE","114040-31-2 --- 113170-55-1","-",,"35082"
"15684","MAGNESIUM ASCORBYLBORATE","-","-",,"85162"
"15685","MAGNESIUM ASPARTATE","2068-80-6 / 18962-61-3","218-191-6",,"77615"
"15686","MAGNESIUM BENZOATE","553-70-8","209-045-2","V/1a","35084"
"15687","MAGNESIUM BROMIDE","7789-48-2","232-170-9",,"35085"
"15688","MAGNESIUM CARBONATE","546-93-0; 7757-69-9","208-915-9",,"77618"
"15689","MAGNESIUM CARBONATE HYDROXIDE","12125-28-9","235-192-7",,"35087"
"15690","MAGNESIUM CARBOXYMETHYL BETA-GLUCAN","1409932-89-3","-",,"93497"
"15691","MAGNESIUM CHLORIDE","7786-30-3/ 7791-18-6 (uwodniony)","232-094-6/ -",,"35088"
"15692","MAGNESIUM CITRATE","7779-25-1","231-923-9",,"57543"
"15693","MAGNESIUM COCETH SULFATE","-","-",,"57544"
"15694","MAGNESIUM COCOATE","-","-",,"35089"
"15695","MAGNESIUM COCO-SULFATE","-","-",,"35090"
"15696","MAGNESIUM DNA","-","-",,"57545"
"15697","MAGNESIUM FLUORIDE","7783-40-6","231-995-1","III/56","35091"
"15698","MAGNESIUM FLUOROSILICATE","16949-65-8","241-022-2","III/43","35092"
"15699","MAGNESIUM GLUCOHEPTONATE","74347-32-3","277-833-3",,"35093"
"15700","MAGNESIUM GLUCONATE","3632-91-5","222-848-2",,"35094"
"15701","MAGNESIUM GLYCEROPHOSPHATE","927-20-8","213-149-3",,"85015"
"15702","MAGNESIUM GLYCINATE","14783-68-7","238-852-2",,"85783"
"15703","MAGNESIUM HYDRIDE","7693-27-8","231-705-3",,"89960"
"15704","MAGNESIUM HYDROGEN PHOSPHATE","7757-86-0","231-823-5",,"57546"
"15705","MAGNESIUM HYDROXIDE","1309-42-8","215-170-3",,"35096"
"15706","MAGNESIUM ISODODECYLBENZENESULFONATE","27479-45-4","248-489-1",,"82469"
"15707","MAGNESIUM LACTATE","18917-93-6","242-671-4",,"57547"
"15708","MAGNESIUM LANOLATE","85005-40-9","284-973-9",,"35097"
"15709","MAGNESIUM LAURATE","4040-48-6","223-727-7",,"91658"
"15710","MAGNESIUM LAURETH SULFATE","62755-21-9","-",,"77630"
"15711","MAGNESIUM LAURETH-11 CARBOXYLATE","-","-",,"77631"
"15712","MAGNESIUM LAURETH-16 SULFATE","62755-21-9","-",,"77632"
"15713","MAGNESIUM LAURETH-3 SULFOSUCCINATE","-","-",,"57548"
"15714","MAGNESIUM LAURETH-5 SULFATE","62755-21-9","-",,"77633"
"15715","MAGNESIUM LAURETH-8 SULFATE","62755-21-9","-",,"77634"
"15716","MAGNESIUM LAURYL HYDROXYPROPYL SULFONATE","-","-",,"35103"
"15717","MAGNESIUM LAURYL SULFATE","3097-08-3","221-450-6",,"35104"
"15718","MAGNESIUM LITHOSPERMATE B","122021-74-3","-",,"93148"
"15719","MAGNESIUM METHYL COCOYL TAURATE","223705-12-2","-",,"35105"
"15720","MAGNESIUM MYRETH SULFATE","-","-",,"77638"
"15721","MAGNESIUM MYRISTATE","4086-70-8","223-817-6",,"35107"
"15722","MAGNESIUM NITRATE","10377-60-3","233-826-7",,"35108"
"15723","MAGNESIUM OLETH SULFATE","87569-97-9","-",,"77641"
"15724","MAGNESIUM OXIDE","1309-48-4","215-171-9",,"35110"
"15725","MAGNESIUM PALMITATE","2601-98-1","220-010-0",,"35111"
"15726","MAGNESIUM PALMITOYL GLUTAMATE","57539-47-6","260-800-2",,"57549"
"15727","MAGNESIUM PCA","5819-47-6","227-392-8",,"35112"
"15728","MAGNESIUM PEG-3 COCAMIDE SULFATE","-","-",,"77645"
"15729","MAGNESIUM PEROXIDE","1335-26-8 / 14452-57-4","215-627-7 / 238-438-1",,"35114"
"15730","MAGNESIUM PHOSPHATE","10043-83-1","233-142-9",,"57550"
"15731","MAGNESIUM POTASSIUM FLUOROSILICATE","-","-",,"35115"
"15732","MAGNESIUM POWDER","7439-95-4","231-104-6",,"87337"
"15733","MAGNESIUM PROPIONATE","557-27-7","209-166-0","V/2","35116"
"15734","MAGNESIUM SALICYLATE","18917-89-0","242-669-3","V/3","35117"
"15735","MAGNESIUM SILICATE","1343-88-0","215-681-1",,"35118"
"15736","MAGNESIUM SODIUM FLUOROSILICATE","-","-",,"35119"
"15737","MAGNESIUM STEARATE","557-04-0","209-150-3","IV/150","35120"
"15738","MAGNESIUM SULFATE","7487-88-9 / 10034-99-8 (7-wodny) / 18939-43-0","231-298-2",,"35121"
"15739","MAGNESIUM SULFIDE","12032-36-9","234-771-1",,"35122"
"15740","MAGNESIUM TALLOWATE","68953-41-3","273-205-8",,"35123"
"15741","MAGNESIUM THIOGLYCOLATE","63592-16-5","264-358-1",,"35124"
"15742","MAGNESIUM TRISILICATE","14987-04-3","239-076-7",,"35125"
"15743","MAGNESIUM/ALUMINUM/HYDROXIDE/CARBONATE","11097-59-9","234-319-3",,"35126"
"15744","MAGNESIUM/ALUMINUM/ZINC/HYDROXIDE/CARBONATE","-","-",,"57551"
"15745","MAGNESIUM/MANGANESE/TITANIUM OXIDE","-","-",,"94859"
"15746","MAGNESIUM/POTASSIUM/SILICON/FLUORIDE/HYDROXIDE/OXIDE","-","-",,"57587"
"15747","MAGNESIUM/POTASSIUM/TITANIUM OXIDE","-","-",,"96586"
"15748","MAGNESIUM/TEA-COCO-SULFATE","226994-99-6","-",,"35127"
"15749","MAGNETOSPIRILLUM MAGNETICUM FERMENT LYSATE FILTRATE","-","-",,"98280"
"15750","MAGNOLIA ACUMINATA BARK EXTRACT","-","-",,"57588"
"15751","MAGNOLIA ACUMINATA FLOWER EXTRACT","-","-",,"57589"
"15752","MAGNOLIA BIONDII BARK EXTRACT","85085-47-8","285-376-6",,"35129"
"15753","MAGNOLIA BIONDII BUD/FLOWER EXTRACT","85085-47-8","285-376-6",,"84240"
"15754","MAGNOLIA BIONDII FLOWER EXTRACT","85085-47-8","285-376-6",,"57590"
"15755","MAGNOLIA CHAMPACA FLOWER OIL","-","-",,"82279"
"15756","MAGNOLIA CHAMPACA FLOWER WATER","-","-",,"84121"
"15757","MAGNOLIA DENUDATA BUD POWDER","-","-",,"57591"
"15758","MAGNOLIA DENUDATA CALLUS EXTRACT","-","-",,"91824"
"15759","MAGNOLIA DENUDATA FLOWER EXTRACT","-","-",,"98697"
"15760","MAGNOLIA GLAUCA FLOWER WATER","93062-76-1","296-831-3",,"86670"
"15761","MAGNOLIA GRANDIFLORA BARK EXTRACT","85085-47-8","285-376-6",,"84188"
"15762","MAGNOLIA GRANDIFLORA FLOWER EXTRACT","85085-47-8","285-376-6",,"89082"
"15763","MAGNOLIA GRANDIFLORA LEAF EXTRACT","85085-47-8","285-376-6",,"57592"
"15764","MAGNOLIA KOBUS BARK EXTRACT","223749-80-2","-",,"57593"
"15765","MAGNOLIA KOBUS BRANCH/FLOWER/LEAF EXTRACT","223749-80-2","-",,"83707"
"15766","MAGNOLIA KOBUS FLOWER EXTRACT","-","-",,"90467"
"15767","MAGNOLIA KOBUS FLOWER/SARCODON ASPRATUS EXTRACT","-","-",,"97234"
"15768","MAGNOLIA KOBUS PHYTOPLACENTA EXTRACT","-","-",,"91590"
"15769","MAGNOLIA LILIFLORA BUD EXTRACT","246536-69-6","-",,"57594"
"15770","MAGNOLIA LILIFLORA FLOWER EXTRACT","246536-69-6","-",,"57595"
"15771","MAGNOLIA OBOVATA BARK EXTRACT","223749-85-7","-",,"57596"
"15772","MAGNOLIA OBOVATA EXTRACT","223749-85-7","-",,"35133"
"15773","MAGNOLIA OBOVATA FRUIT EXTRACT","-","-",,"93704"
"15774","MAGNOLIA OFFICINALIS BARK EXTRACT","-","-",,"57597"
"15775","MAGNOLIA OFFICINALIS FLOWER EXTRACT","-","-",,"82421"
"15776","MAGNOLIA SIEBOLDII CALLUS CULTURE EXTRACT","-","-",,"90127"
"15777","MAGNOLIA SIEBOLDII EXTRACT","-","-",,"83619"
"15778","MAGNOLIA SIEBOLDII FLOWER EXTRACT","-","-",,"83621"
"15779","MAGNOLIA SIEBOLDII FLOWER OIL","-","-",,"83622"
"15780","MAGNOLIA SIEBOLDII ROOT EXTRACT","-","-",,"83620"
"15781","MAGNOLIA WILSONII CALLUS EXTRACT","-","-",,"93094"
"15782","MAGNOLOL","528-43-8","-",,"57598"
"15783","MAHONIA AQUIFOLIUM FLOWER/LEAF/STEM EXTRACT","90063-76-6","290-036-5",,"83981"
"15784","MAHONIA AQUIFOLIUM ROOT EXTRACT","90063-76-6","290-036-5",,"57599"
"15785","MALACHITE","1319-53-5","-",,"57600"
"15786","MALACHITE EXTRACT","-","-",,"57601"
"15787","MALEATED DEHYDRO CASTOR ACIDS","-","-",,"96427"
"15788","MALEATED HEXENE/PROPYLENE COPOLYMER","1227182-24-2","-",,"89068"
"15789","MALEATED SOYBEAN OIL","68648-66-8","272-000-0",,"35134"
"15790","MALEIC ACID","110-16-7","203-742-5",,"35135"
"15791","MALEIC ANHYDRIDE","108-31-6","203-571-6",,"57602"
"15792","MALIC ACID","97-67-6","202-601-5",,"35136"
"15793","MALLOTUS JAPONICUS BARK EXTRACT","-","-",,"57603"
"15794","MALLOTUS JAPONICUS FLOWER OIL","-","-",,"85307"
"15795","MALLOTUS JAPONICUS LEAF EXTRACT","-","-",,"82898"
"15796","MALLOTUS JAPONICUS SEED OIL","-","-",,"85306"
"15797","MALLOTUS PHILIPPENSIS BARK EXTRACT","-","-",,"93788"
"15798","MALLOTUS PHILIPPENSIS FRUIT EXTRACT","84776-68-1","-",,"94060"
"15799","MALONIC ACID","141-82-2","205-503-0",,"35137"
"15800","MALPIGHIA EMARGINATA FRUIT EXTRACT","-","-",,"57605"
"15801","MALPIGHIA EMARGINATA FRUIT POWDER","-","-",,"84090"
"15802","MALPIGHIA EMARGINATA SEED EXTRACT","-","-",,"57606"
"15803","MALPIGHIA GLABRA CALLUS EXTRACT","-","-",,"98480"
"15804","MALPIGHIA GLABRA FRUIT","223747-63-5","-",,"57607"
"15805","MALPIGHIA GLABRA FRUIT EXTRACT","223747-63-5","-",,"57608"
"15806","MALPIGHIA GLABRA FRUIT JUICE","223747-63-5","-",,"57609"
"15807","MALPIGHIA GLABRA FRUIT WATER","-","-",,"90538"
"15808","MALPIGHIA PUNICIFOLIA FRUIT","-","-",,"57610"
"15809","MALPIGHIA PUNICIFOLIA FRUIT EXTRACT","-","-",,"57611"
"15810","MALT EXTRACT","8002-48-0","232-310-9",,"77774"
"15811","MALT FLOUR","-","-",,"57612"
"15812","MALT JUICE","-","-",,"57613"
"15813","MALTITOL","585-88-6","209-567-0",,"35141"
"15814","MALTITOL LAURATE","75765-49-0","-",,"57614"
"15815","MALTOBIONIC ACID","534-42-9","-",,"83491"
"15816","MALTODEXTRIN","9050-36-6","232-940-4",,"35142"
"15817","MALTODEXTRIN HYDROXYPROPYLTRIMONIUM CHLORIDE","-","-",,
"15818","MALTODEXTRIN LAURATE","-","-",,
"15819","MALTODEXTRIN/VP COPOLYMER","1323833-56-2","-",,"89958"
"15820","MALTOL","118-71-8","204-271-8",,"77777"
"15821","MALTOL ISOBUTYRATE","65416-14-0","265-755-2",,"57615"
"15822","MALTOOLIGOSYL GLUCOSIDE","-","-",,"57616"
"15823","MALTOSE","69-79-4","200-716-5",,"35143"
"15824","MALTOSYL CYCLODEXTRIN","104723-60-6","-",,"57617"
"15825","MALUS BACCATA CALLUS CULTURE EXTRACT","-","-",,"94432"
"15826","MALUS BACCATA FRUIT/LEAF/STEM EXTRACT","-","-",,"91705"
"15827","MALUS BACCATA PHYTOPLACENTA CULTURE EXTRACT","-","-",,"94433"
"15828","MALUS DOMESTICA CALLUS CULTURE EXTRACT","-","-",,"98739"
"15829","MALUS DOMESTICA CALLUS EXTRACT","-","-",,"91825"
"15830","MALUS DOMESTICA FRUIT CELL CULTURE EXTRACT","-","-",,"86123"
"15831","MALUS DOMESTICA FRUIT EXTRACT","-","-",,"83460"
"15832","MALUS DOMESTICA FRUIT WATER","89957-48-2","289-567-5",,"87972"
"15833","MALUS SYLVESTRIS FLOWER EXTRACT","85251-63-4","286-475-7",,"88353"
"15834","MALUS TORINGO LEAF EXTRACT","-","-",,
"15835","MALVA MOSCHATA FLOWER EXTRACT","-","-",,"94950"
"15836","MALVA MOSCHATA LEAF EXTRACT","223747-73-7","-",,"57618"
"15837","MALVA MOSCHATA ROOT EXTRACT","223747-73-7","-",,"57619"
"15838","MALVA OFFICINALIS FLOWER EXTRACT","-","-",,"83074"
"15839","MALVA ROTUNDIFOLIA FLOWER","90063-81-3","290-041-2",,"57620"
"15840","MALVA ROTUNDIFOLIA FLOWER EXTRACT","90063-81-3","290-041-2",,"82300"
"15841","MALVA SYLVESTRIS CALLUS EXTRACT","-","-",,"92236"
"15842","MALVA SYLVESTRIS EXTRACT","84082-57-5","282-003-9",,"77779"
"15843","MALVA SYLVESTRIS FLOWER","-","-",,"97042"
"15844","MALVA SYLVESTRIS FLOWER EXTRACT","84082-57-5","282-003-9",,"57683"
"15845","MALVA SYLVESTRIS FLOWER POWDER","-","-",,
"15846","MALVA SYLVESTRIS FLOWER/LEAF EXTRACT","84082-57-5","282-003-9",,"82792"
"15847","MALVA SYLVESTRIS FLOWER/LEAF/STEM EXTRACT","84082-57-5","282-003-9",,"84241"
"15848","MALVA SYLVESTRIS FLOWER/LEAF/STEM WATER","-","-",,"98828"
"15849","MALVA SYLVESTRIS LEAF EXTRACT","84082-57-5","282-003-9",,"83572"
"15850","MALVA SYLVESTRIS LEAF POWDER","-","-",,
"15851","MALVA SYLVESTRIS LEAF WATER","84082-57-5","282-003-9",,"84242"
"15852","MALVA SYLVESTRIS SEED","84082-57-5","282-003-9",,"84243"
"15853","MALVA VERTICILLATA FLOWER/LEAF/STEM EXTRACT","-","-",,"90566"
"15854","MALVA VERTICILLATA SEED EXTRACT","-","-",,"98100"
"15855","MALVA VERTICILLATA SEED OIL","-","-",,"91370"
"15856","M-AMINOPHENOL","591-27-5","209-711-2","III/217","35147"
"15857","M-AMINOPHENOL HCL","51-81-0","200-125-2","III/217","35148"
"15858","M-AMINOPHENOL SULFATE","68239-81-6","269-475-1","III/217","35149"
"15859","MAMMARIAN HYDROLYSATE","84082-71-3","282-017-5",,"77865"
"15860","MAMMARY EXTRACT","85883-82-5","288-732-9",,"35151"
"15861","MAMUSHI OIL","-","-",,"57685"
"15862","MANDELIC ACID","90-64-2","202-007-6",,"35152"
"15863","MANDRAGORA OFFICINARUM ROOT EXTRACT","90063-85-7","290-044-9",,"57686"
"15864","MANGANESE ACETYLMETHIONATE","105883-50-9","-",,"35154"
"15865","MANGANESE ADENOSINE TRIPHOSPHATE","56842-80-9","-",,"57687"
"15866","MANGANESE ASPARTATE","16351-10-3","-",,"35155"
"15867","MANGANESE CHLORIDE","7773-01-5","231-869-6",,"35156"
"15868","MANGANESE CITRATE","10024-66-5","233-027-3",,"83758"
"15869","MANGANESE DIOXIDE","1313-13-9","215-202-6",,"57688"
"15870","MANGANESE FRUCTOSE DIPHOSPHATE","-","-",,"84089"
"15871","MANGANESE GLUCONATE","6485-39-8","229-350-4",,"35157"
"15872","MANGANESE GLYCEROPHOSPHATE","143007-66-3","215-301-4",,"35158"
"15873","MANGANESE GLYCINATE","14281-77-7","-",,"96133"
"15874","MANGANESE OXIDE","11129-60-5","234-378-5",,"87338"
"15875","MANGANESE PCA","-","-",,"35159"
"15876","MANGANESE PYRIDOXAL 5-PHOSPHATE","-","-",,"84088"
"15877","MANGANESE PYRIDYLMETHYLAMINOETHYL PYRIDINYLTRIAZACYCLODODECANE HCL","-","-",,
"15878","MANGANESE QUINOLYLMETHYLAMINOETHYL PYRIDINYLTRIAZACYCLODODECANE","1276692-37-5","-",,"93922"
"15879","MANGANESE SULFATE","7785-87-7 / 10124-55-7","232-089-9 / 233-342-6",,"57689"
"15880","MANGANESE TRIPEPTIDE-1","-","-",,"57690"
"15881","MANGIFERA INDICA FRUIT","90063-86-8","290-045-4",,"57691"
"15882","MANGIFERA INDICA FRUIT EXTRACT","90063-86-8","290-045-4",,"57692"
"15883","MANGIFERA INDICA JUICE","90063-86-8","290-045-4",,"57693"
"15884","MANGIFERA INDICA LEAF EXTRACT","90063-86-8","290-045-4",,"57694"
"15885","MANGIFERA INDICA PULP EXTRACT","90063-86-8","290-045-4",,"88254"
"15886","MANGIFERA INDICA SEED","90063-86-8","290-045-4",,"57695"
"15887","MANGIFERA INDICA SEED BUTTER","90063-86-8","290-045-4",,"57696"
"15888","MANGIFERA INDICA SEED EXTRACT","90063-86-8","290-045-4",,"84921"
"15889","MANGIFERA INDICA SEED GLYCERIDES","-","-",,"94182"
"15890","MANGIFERA INDICA SEED OIL","90063-86-8","290-045-4",,"35161"
"15891","MANGIFERIN","4773-96-0","-",,"57697"
"15892","MANGO BUTTER DIMER DILINOLEYL ESTERS/DIMER DILINOLEATE COPOLYMER","-","-",,"90745"
"15893","MANGO SEED OIL PEG-70 ESTERS","-","-",,"77875"
"15894","MANGOSTIN","6147-11-1","-",,"57698"
"15895","MANICOUAGAN CLAY","-","-",,"57699"
"15896","MANIHOT UTILISSIMA LEAF EXTRACT","92456-72-9","296-251-0",,"57700"
"15897","MANIHOT UTILISSIMA ROOT FIBER","92456-72-9","296-251-0",,"89003"
"15898","MANILKARA MULTINERVIS LEAF EXTRACT","-","-",,"87113"
"15899","MANNAN","9036-88-8 / 51395-96-1","-",,"57701"
"15900","MANNITAN LAURATE","1341-12-4","215-674-3",,"35165"
"15901","MANNITAN OLEATE","-","-",,"35166"
"15902","MANNITOL","69-65-8","200-711-8",,"35167"
"15903","MANNOSE","3458-28-4","222-392-4",,"57702"
"15904","MANNOSYLERYTHRITOL LIPID","-","-",,"89443"
"15905","MANTIS EXTRACT","-","-",,"95027"
"15906","MARANTA ARUNDINACEA ROOT EXTRACT","-","-",,"57703"
"15907","MARANTA ARUNDINACEA ROOT POWDER","-","-",,"87014"
"15908","MARBLE POWDER","-","-",,"85437"
"15909","MARE MILK","-","-",,"85022"
"15910","MARE MILK LIPIDS","-","-",,"82524"
"15911","MARGARITA POWDER","-","-",,"35169"
"15912","MARINOBACTER SHENGLIENSIS/CABBAGE STEM FERMENT EXTRACT FILTRATE","-","-",,"96329"
"15913","MARINOBACTER SHENGLIENSIS/SPIRULINA MAXIMA EXTRACT FERMENT FILTRATE","-","-",,"97499"
"15914","MARIS AQUA","-","-",,"35170"
"15915","MARIS LIMUS EXTRACT","-","-",,"35171"
"15916","MARIS SAL","-","-",,"77883"
"15917","MARLIOLIDE","111900-39-1","-",,"98169"
"15918","MARLIOLIDE ETHYL ETHER","-","-",,"97248"
"15919","MARMOT OIL","225234-13-9","-",,"87489"
"15920","MARROW EXTRACT","-","-",,"35174"
"15921","MARROW LIPIDS","-","-",,"57704"
"15922","MARRUBIUM VULGARE CALLUS EXTRACT","84696-20-8 (generic)","283-638-4",,"98263"
"15923","MARRUBIUM VULGARE EXTRACT","84696-20-8","283-638-4",,"35175"
"15924","MARRUBIUM VULGARE FLOWER/LEAF/STEM EXTRACT","84696-20-8","283-638-4 (I)",,"95818"
"15925","MARRUBIUM VULGARE MERISTEM CELL CULTURE","-","-",,"89253"
"15926","MARSDENIA CUNDURANGO BARK EXTRACT","84787-66-6","284-108-5",,"93742"
"15927","MARSDENIA CUNDURANGO ROOT EXTRACT","84787-66-6","284-108-5 (I)",,"93766"
"15928","MARSILEA MINUTA EXTRACT","-","-",,"57707"
"15929","MARTYNOSIDE","67884-12-2","-",,"97089"
"15930","MASLINIC ACID","4373-41-5","-",,"86706"
"15931","MASSOY BARK OIL","-","-",,
