"ID","INCI","CAS","WE","ANNEX","COSING REF. NO."
"9106","DIPA-LANOLATE","85536-46-5","287-529-2",,"33531"
"9107","DIPALMITAMINE","-","-",,"84663"
"9108","DIPALMITOYL CYSTINE","17627-10-0","241-607-2",,"75921"
"9109","DIPALMITOYL GLUTATHIONE","-","-",,"33534"
"9110","DIPALMITOYL GLYCEROPHOSPHOCHOLINE","63-89-8","-",,"88279"
"9111","DIPALMITOYL HYDROXYPROLINE","41672-81-5","255-490-0",,"75923"
"9112","DIPALMITOYLETHYL DIMONIUM CHLORIDE","97158-31-1","306-361-3",,"33536"
"9113","DIPALMITOYLETHYL HYDROXYETHYLMONIUM METHOSULFATE","-","-",,"33537"
"9114","DIPALMOYLETHYL HYDROXYETHYLMONIUM METHOSULFATE","-","-",,"33538"
"9115","DIPALMOYLISOPROPYL DIMONIUM METHOSULFATE","95009-13-5","305-741-6",,"55951"
"9116","DIPA-MYRISTATE","-","-",,"85140"
"9117","DI-PEG-2 SOYAMINE IPDI","183681-06-3","-",,"55952"
"9118","DI-PEG-2 SOYAMINE/POLYDIETHYLENEGLYCOL ADIPATE/IPDI COPOLYMER","-","-",,"90252"
"9119","DIPENTAERYTHRITYL HEXA C5-10 ACID ESTERS","-","-",,"55953"
"9120","DIPENTAERYTHRITYL HEXA C5-9 ACID ESTERS","67762-52-1","267-021-7",,"55954"
"9121","DIPENTAERYTHRITYL HEXAACRYLATE","-","-",,"90370"
"9122","DIPENTAERYTHRITYL HEXABEHENATE/BENZOATE/ETHYLHEXANOATE","-","-",,"86789"
"9123","DIPENTAERYTHRITYL HEXACAPRYLATE/HEXACAPRATE","68130-24-5","268-581-5",,"75927"
"9124","DIPENTAERYTHRITYL HEXAHEPTANOATE/HEXACAPRYLATE/HEXACAPRATE","70851-04-6","-",,"75928"
"9125","DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE","-","-",,"75929"
"9126","DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE/HEXASTEARATE/HEXAHYDROGENATED ROSINATE","-","-",,"55955"
"9127","DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE/HEXASTEARATE/HEXAROSINATE","-","-",,"55956"
"9128","DIPENTAERYTHRITYL HEXAISONONANOATE","1051924-91-4","-",,"87206"
"9129","DIPENTAERYTHRITYL HEXAISOSTEARATE","-","-",,"86772"
"9130","DIPENTAERYTHRITYL HEXAMERCAPTOPROPIONATE","25359-71-1","-",,"95461"
"9131","DIPENTAERYTHRITYL HEXAOCTANOATE/HEXABEHENATE","-","-",,"55957"
"9132","DIPENTAERYTHRITYL PENTAACRYLATE","-","-",,"88119"
"9133","DIPENTAERYTHRITYL PENTAHYDROXYSTEARATE/PENTAISOSTEARATE","-","-",,"55958"
"9134","DIPENTAERYTHRITYL PENTAISONONANOATE","84418-63-3","282-775-7",,"55959"
"9135","DIPENTAERYTHRITYL PENTAISOSTEARATE","-","-",,"55960"
"9136","DIPENTAERYTHRITYL TETRABEHENATE/POLYHYDROXYSTEARATE","-","-",,"55961"
"9137","DIPENTAERYTHRITYL TETRAHYDROXYSTEARATE/TETRAISOSTEARATE","-","-",,"55962"
"9138","DIPENTAERYTHRITYL TETRAISOSTEARATE","-","-",,"82570"
"9139","DIPENTAERYTHRITYL TRI-POLYHYDROXYSTEARATE","-","-",,"82431"
"9140","DI-PENTYL/ISOPENTYL TEREPHTHALATE","2097734-13-7","940-272-6",,"98724"
"9141","DIPENTYLOXY CYCLOHEXANE","-","-",,"83920"
"9142","DIPEPTIDE DIAMINOBUTYROYL BENZYLAMIDE DIACETATE","-","-",,"82650"
"9143","DIPEPTIDE DIAMINOBUTYROYL BENZYLAMIDE DIACETATE OLIGOPEPTIDE-133","-","-",,"95416"
"9144","DIPEPTIDE-1","-","-",,"55963"
"9145","DIPEPTIDE-10","-","-",,"85453"
"9146","DIPEPTIDE-11","-","-",,"85455"
"9147","DIPEPTIDE-12","-","-",,"87507"
"9148","DIPEPTIDE-13","-","-",,"88296"
"9149","DIPEPTIDE-14","-","-",,"88771"
"9150","DIPEPTIDE-15","556-50-3","209-127-3 (I)",,"89911"
"9151","DIPEPTIDE-16","-","-",,"89978"
"9152","DIPEPTIDE-17","-","-",,"90134"
"9153","DIPEPTIDE-18","-","-",,"90332"
"9154","DIPEPTIDE-19","-","-",,"89560"
"9155","DIPEPTIDE-2","-","-",,"55964"
"9156","DIPEPTIDE-20","-","-",,"89604"
"9157","DIPEPTIDE-20 HEXAPEPTIDE-40 OLIGOPEPTIDE-93 RH-POLYPEPTIDE-68 TETRAPEPTIDE-35","-","-","II/416","89544"
"9158","DIPEPTIDE-21","-","-",,"90456"
"9159","DIPEPTIDE-22","-","-",,"90515"
"9160","DIPEPTIDE-23","-","-",,"90517"
"9161","DIPEPTIDE-24","-","-",,"90519"
"9162","DIPEPTIDE-25","-","-",,"90754"
"9163","DIPEPTIDE-26","-","-",,"90976"
"9164","DIPEPTIDE-27","-","-",,"91473"
"9165","DIPEPTIDE-28","-","-",,"91643"
"9166","DIPEPTIDE-28 NICOTINATE","-","-",,"95911"
"9167","DIPEPTIDE-29","-","-",,"91937"
"9168","DIPEPTIDE-3","-","-",,"83051"
"9169","DIPEPTIDE-30","-","-",,"93254"
"9170","DIPEPTIDE-31","-","-",,"93256"
"9171","DIPEPTIDE-32","-","-",,"93257"
"9172","DIPEPTIDE-33","-","-",,"93507"
"9173","DIPEPTIDE-34","-","-",,"93531"
"9174","DIPEPTIDE-35","-","-",,"93563"
"9175","DIPEPTIDE-36","-","-",,"94414"
"9176","DIPEPTIDE-37","-","-",,"94512"
"9177","DIPEPTIDE-38","-","-",,"94667"
"9178","DIPEPTIDE-39","-","-",,"94886"
"9179","DIPEPTIDE-4","-","-",,"83275"
"9180","DIPEPTIDE-40","-","-",,"95311"
"9181","DIPEPTIDE-41","-","-",,"96028"
"9182","DIPEPTIDE-41 NICOTINATE","-","-",,"95913"
"9183","DIPEPTIDE-42","-","-",,"96031"
"9184","DIPEPTIDE-44","-","-",,
"9185","DIPEPTIDE-46","-","-",,"96431"
"9186","DIPEPTIDE-47","-","-",,"96618"
"9187","DIPEPTIDE-48","-","-",,"96626"
"9188","DIPEPTIDE-49","-","-",,"96627"
"9189","DIPEPTIDE-5","-","-",,"85261"
"9190","DIPEPTIDE-50","-","-",,"96628"
"9191","DIPEPTIDE-51","-","-",,"96634"
"9192","DIPEPTIDE-52","-","-",,"97141"
"9193","DIPEPTIDE-53","-","-",,"97380"
"9194","DIPEPTIDE-54","-","-",,"98122"
"9195","DIPEPTIDE-55","-","-",,"98586"
"9196","DIPEPTIDE-56 AMIDE","-","-",,"98787"
"9197","DIPEPTIDE-57","-","-",,
"9198","DIPEPTIDE-58 D-PHENYLALANYL ARGINYL D-TRYPTOPHYL TETRAPEPTIDE-90 AMIDE","-","-",,
"9199","DIPEPTIDE-6","18684-24-7","-",,"83924"
"9200","DIPEPTIDE-7","-","-",,"85447"
"9201","DIPEPTIDE-8","-","-",,"85449"
"9202","DIPEPTIDE-8 HCL","-","-",,"85450"
"9203","DIPEPTIDE-9","17105-15-6","-",,"85451"
"9204","DIPHENHYDRAMINE HCL","147-24-0","205-687-2",,"85068"
"9205","DIPHENOLIC ACID","126-00-1","204-763-2",,"33546"
"9206","DIPHENYL ACETAMIDOTRICHLOROETHYL FLUORONITROPHENYL THIOUREA","-","-",,"86231"
"9207","DIPHENYL AMODIMETHICONE","-","-",,"55965"
"9208","DIPHENYL CARBOMETHOXY ACETOXY NAPHTHOPYRAN","169682-22-8","-",,"33547"
"9209","DIPHENYL DIMETHICONE","-","-",,"75932"
"9210","DIPHENYL DIMETHICONE CROSSPOLYMER","-","-",,"55859"
"9211","DIPHENYL DIMETHICONE/VINYL DIPHENYL DIMETHICONE/SILSESQUIOXANE CROSSPOLYMER","-","-",,"55860"
